arm_length_m,test_mass_kg,snr_year
1270.0,72.0,2.678557655876635e-10
1270.0,73.0,2.678557927930015e-10
1270.0,74.0,2.6785581890289746e-10
1270.0,75.0,2.6785584397538326e-10
1270.0,76.0,2.6785586806469805e-10
1270.0,77.0,2.6785589122158207e-10
1270.0,78.0,2.678559134935442e-10
1270.0,79.0,2.6785593492510524e-10
1270.0,80.0,2.678559555580214e-10
1270.0,81.0,2.6785597543148703e-10
1270.0,82.0,2.678559945823214e-10
1270.0,83.0,2.678560130451392e-10
1270.0,84.0,2.6785603085250717e-10
1270.0,85.0,2.678560480350875e-10
1270.0,86.0,2.6785606462177036e-10
1270.0,87.0,2.678560806397951e-10
1270.0,88.0,2.678560961148621e-10
1270.0,89.0,2.678561110712364e-10
1270.0,90.0,2.678561255318422e-10
1270.0,91.0,2.678561395183511e-10
1270.0,92.0,2.678561530512635e-10
1270.0,93.0,2.6785616614998373e-10
1270.0,94.0,2.678561788328891e-10
1270.0,95.0,2.6785619111739515e-10
1270.0,96.0,2.678562030200149e-10
1270.0,97.0,2.6785621455641477e-10
1270.0,98.0,2.6785622574146586e-10
1270.0,99.0,2.678562365892921e-10
1270.0,100.0,2.678562471133148e-10
1280.0,10.0,2.679151602320736e-10
1280.0,11.0,2.6792388960723965e-10
1280.0,12.0,2.6793052958428214e-10
1280.0,13.0,2.679356973893739e-10
1280.0,14.0,2.679397980972905e-10
1280.0,15.0,2.6794310647640597e-10
1280.0,16.0,2.679458142334824e-10
1280.0,17.0,2.6794805841850825e-10
1280.0,18.0,2.679499391108165e-10
1280.0,19.0,2.679515307715816e-10
1280.0,20.0,2.679528897281787e-10
1280.0,21.0,2.6795405922648064e-10
1280.0,22.0,2.679550729140755e-10
1280.0,23.0,2.679559572875782e-10
1280.0,24.0,2.6795673344172346e-10
1280.0,25.0,2.6795741833895403e-10
1280.0,26.0,2.679580257440559e-10
1280.0,27.0,2.6795856692115493e-10
1280.0,28.0,2.679590511597004e-10
1280.0,29.0,2.679594861757597e-10
1280.0,30.0,2.679598784212962e-10
1280.0,31.0,2.679602333247765e-10
1280.0,32.0,2.679605554799955e-10
1280.0,33.0,2.679608487954748e-10
1280.0,34.0,2.679611166135692e-10
1280.0,35.0,2.6796136180610315e-10
1280.0,36.0,2.679615868516769e-10
1280.0,37.0,2.6796179389855096e-10
1280.0,38.0,2.67961984816103e-10
1280.0,39.0,2.6796216123717065e-10
1280.0,40.0,2.6796232459307976e-10
1280.0,41.0,2.6796247614276624e-10
1280.0,42.0,2.6796261699710484e-10
1280.0,43.0,2.6796274813932315e-10
1280.0,44.0,2.679628704422067e-10
1280.0,45.0,2.679629846826578e-10
1280.0,46.0,2.679630915540635e-10
1280.0,47.0,2.6796319167684194e-10
1280.0,48.0,2.6796328560746653e-10
1280.0,49.0,2.6796337384621463e-10
1280.0,50.0,2.679634568438426e-10
1280.0,51.0,2.679635350073537e-10
1280.0,52.0,2.6796360870499713e-10
1280.0,53.0,2.6796367827061337e-10
1280.0,54.0,2.6796374400742127e-10
1280.0,55.0,2.6796380619132797e-10
1280.0,56.0,2.6796386507382843e-10
1280.0,57.0,2.679639208845523e-10
1280.0,58.0,2.6796397383350607e-10
1280.0,59.0,2.679640241130516e-10
1280.0,60.0,2.679640718996556e-10
1280.0,61.0,2.679641173554401e-10
1280.0,62.0,2.6796416062955915e-10
1280.0,63.0,2.6796420185942423e-10
1280.0,64.0,2.6796424117179625e-10
1280.0,65.0,2.6796427868376086e-10
1280.0,66.0,2.6796431450360164e-10
1280.0,67.0,2.67964348731582e-10
1280.0,68.0,2.679643814606478e-10
1280.0,69.0,2.6796441277705917e-10
1280.0,70.0,2.6796444276095885e-10
1280.0,71.0,2.6796447148688603e-10
1280.0,72.0,2.6796449902423977e-10
1280.0,73.0,2.679645254376987e-10
1280.0,74.0,2.679645507876009e-10
1280.0,75.0,2.6796457513028915e-10
1280.0,76.0,2.679645985184239e-10
1280.0,77.0,2.679646210012684e-10
1280.0,78.0,2.6796464262494876e-10
1280.0,79.0,2.6796466343269e-10
1280.0,80.0,2.679646834650326e-10
1280.0,81.0,2.679647027600303e-10
1280.0,82.0,2.6796472135343065e-10
1280.0,83.0,2.679647392788409e-10
1280.0,84.0,2.679647565678797e-10
1280.0,85.0,2.679647732503168e-10
1280.0,86.0,2.6796478935420155e-10
1280.0,87.0,2.6796480490598025e-10
1280.0,88.0,2.6796481993060543e-10
1280.0,89.0,2.679648344516356e-10
1280.0,90.0,2.6796484849132784e-10
1280.0,91.0,2.67964862070723e-10
1280.0,92.0,2.679648752097248e-10
